type,entry_time,entry_price,exit_time,exit_price,contracts,pnl,pnl_usd,result,equity_after,day
short,2025-01-08 19:03:00-06:00,6001.5,2025-01-08 19:14:00-06:00,6002.0,5,-2.5,-62.5,stop_loss,4937.5,20250109
long,2025-01-08 19:49:00-06:00,6000.0,2025-01-08 19:56:00-06:00,6000.428571428572,5,-1.5714285714284415,-39.28571428571104,take_profit,4898.214285714289,20250109
short,2025-01-08 20:24:00-06:00,6007.0,2025-01-08 21:42:00-06:00,6006.1,5,-1.1000000000003638,-27.500000000009095,take_profit,4870.71428571428,20250109
long,2025-01-08 21:52:00-06:00,6002.25,2025-01-08 21:54:00-06:00,6001.75,5,-2.5,-62.5,stop_loss,4808.21428571428,20250109
short,2025-01-08 23:12:00-06:00,6002.0,2025-01-08 23:45:00-06:00,6002.5,5,-2.5,-62.5,stop_loss,4745.71428571428,20250109
long,2025-01-09 02:06:00-06:00,5985.0,2025-01-09 02:08:00-06:00,5986.285714285715,5,-0.7142857142853245,-17.857142857133113,take_profit,4727.857142857147,20250109
long,2025-01-09 03:18:00-06:00,6007.0,2025-01-09 03:20:00-06:00,6007.0,5,-2.0,-50.0,take_profit,4677.857142857147,20250109
long,2025-01-09 04:43:00-06:00,6008.0,2025-01-09 04:50:00-06:00,6008.942857142857,5,-1.057142857142935,-26.428571428573377,take_profit,4651.428571428573,20250109
long,2025-01-09 05:10:00-06:00,6005.5,2025-01-09 05:14:00-06:00,6005.0,5,-2.5,-62.5,stop_loss,4588.928571428573,20250109
short,2025-01-09 06:10:00-06:00,6005.0,2025-01-09 06:13:00-06:00,6005.5,5,-2.5,-62.5,stop_loss,4526.428571428573,20250109
short,2025-01-09 07:00:00-06:00,6004.75,2025-01-09 07:03:00-06:00,6005.25,5,-2.5,-62.5,stop_loss,4463.928571428573,20250109
long,2025-01-09 08:00:00-06:00,5999.5,2025-01-09 08:02:00-06:00,5998.971428571429,5,-2.528571428571013,-63.21428571427532,stop_loss,4400.714285714298,20250109
long,2025-01-09 18:16:00-06:00,5979.25,2025-01-09 18:19:00-06:00,5978.507142857143,5,-2.742857142857247,-68.57142857143117,stop_loss,4907.457142857141,20250110
short,2025-01-09 19:03:00-06:00,5981.75,2025-01-09 19:05:00-06:00,5982.25,5,-2.5,-62.5,stop_loss,4844.957142857141,20250110
short,2025-01-09 20:19:00-06:00,5993.0,2025-01-09 20:34:00-06:00,5993.5,5,-2.5,-62.5,stop_loss,4782.457142857141,20250110
short,2025-01-09 20:53:00-06:00,5995.0,2025-01-09 21:10:00-06:00,5995.5,5,-2.5,-62.5,stop_loss,4719.957142857141,20250110
short,2025-01-09 21:54:00-06:00,6000.0,2025-01-09 21:59:00-06:00,5999.4857142857145,5,-1.4857142857144936,-37.14285714286234,take_profit,4682.814285714278,20250110
short,2025-01-09 22:54:00-06:00,5999.5,2025-01-09 22:57:00-06:00,6000.0,5,-2.5,-62.5,stop_loss,4620.314285714278,20250110
short,2025-01-09 23:29:00-06:00,6003.25,2025-01-09 23:38:00-06:00,6002.864285714286,5,-1.6142857142858702,-40.357142857146755,take_profit,4579.957142857132,20250110
long,2025-01-10 00:40:00-06:00,5997.25,2025-01-10 00:47:00-06:00,5997.55,5,-1.699999999999818,-42.49999999999545,take_profit,4537.457142857136,20250110
long,2025-01-10 00:58:00-06:00,5994.25,2025-01-10 01:05:00-06:00,5993.75,5,-2.5,-62.5,stop_loss,4474.957142857136,20250110
short,2025-01-10 02:20:00-06:00,6004.0,2025-01-10 02:29:00-06:00,6004.5,5,-2.5,-62.5,stop_loss,4412.457142857136,20250110
long,2025-01-10 02:51:00-06:00,5999.75,2025-01-10 03:03:00-06:00,5999.25,5,-2.5,-62.5,stop_loss,4349.957142857136,20250110
short,2025-01-10 04:35:00-06:00,5999.75,2025-01-10 04:37:00-06:00,6000.25,5,-2.5,-62.5,stop_loss,4287.457142857136,20250110
short,2025-01-10 05:07:00-06:00,6006.0,2025-01-10 05:09:00-06:00,6006.5,5,-2.5,-62.5,stop_loss,4224.957142857136,20250110
long,2025-01-10 05:47:00-06:00,6008.25,2025-01-10 05:49:00-06:00,6007.75,5,-2.5,-62.5,stop_loss,4162.457142857136,20250110
long,2025-01-10 06:06:00-06:00,5999.75,2025-01-10 06:08:00-06:00,5999.25,5,-2.5,-62.5,stop_loss,4099.957142857136,20250110
short,2025-01-10 06:37:00-06:00,6001.5,2025-01-10 06:59:00-06:00,6002.0,5,-2.5,-62.5,stop_loss,4037.457142857136,20250110
short,2025-01-10 11:30:00-06:00,5915.0,2025-01-10 11:35:00-06:00,5916.857142857143,4,-3.457142857143117,-69.14285714286234,stop_loss,3968.314285714274,20250110
short,2025-01-10 12:10:00-06:00,5937.75,2025-01-10 12:19:00-06:00,5939.307142857143,5,-3.557142857142935,-88.92857142857338,stop_loss,3879.3857142857005,20250110
long,2025-01-12 19:16:00-06:00,5906.75,2025-01-12 19:18:00-06:00,5908.464285714285,5,-0.2857142857146755,-7.142857142866887,take_profit,4924.328571428561,20250113
long,2025-01-12 20:48:00-06:00,5895.75,2025-01-12 20:56:00-06:00,5896.7357142857145,5,-1.0142857142855064,-25.35714285713766,take_profit,4898.9714285714235,20250113
long,2025-01-12 21:25:00-06:00,5887.5,2025-01-12 21:29:00-06:00,5890.414285714286,5,0.9142857142860521,22.857142857151302,take_profit,4921.828571428575,20250113
long,2025-01-12 23:29:00-06:00,5893.25,2025-01-12 23:33:00-06:00,5892.75,5,-2.5,-62.5,stop_loss,4859.328571428575,20250113
short,2025-01-13 00:00:00-06:00,5894.25,2025-01-13 00:03:00-06:00,5894.75,5,-2.5,-62.5,stop_loss,4796.828571428575,20250113
short,2025-01-13 01:44:00-06:00,5895.75,2025-01-13 01:46:00-06:00,5895.707142857143,5,-1.9571428571425713,-48.92857142856428,take_profit,4747.900000000011,20250113
long,2025-01-13 02:24:00-06:00,5885.25,2025-01-13 02:26:00-06:00,5888.121428571429,5,0.8714285714286234,21.785714285715585,take_profit,4769.685714285726,20250113
long,2025-01-13 03:07:00-06:00,5867.5,2025-01-13 03:09:00-06:00,5866.071428571428,5,-3.4285714285715585,-85.71428571428896,stop_loss,4683.971428571437,20250113
short,2025-01-13 03:41:00-06:00,5871.75,2025-01-13 03:46:00-06:00,5869.907142857143,5,-0.1571428571432989,-3.9285714285824724,take_profit,4680.042857142855,20250113
short,2025-01-13 05:58:00-06:00,5875.0,2025-01-13 06:00:00-06:00,5875.5,5,-2.5,-62.5,stop_loss,4617.542857142855,20250113
long,2025-01-13 08:03:00-06:00,5877.0,2025-01-13 08:10:00-06:00,5876.4,5,-2.600000000000364,-65.0000000000091,stop_loss,4552.542857142846,20250113
long,2025-01-13 18:04:00-06:00,5944.0,2025-01-13 18:09:00-06:00,5945.542857142857,5,-0.4571428571425713,-11.428571428564283,take_profit,4904.8857142857205,20250114
long,2025-01-13 19:04:00-06:00,5944.0,2025-01-13 19:27:00-06:00,5944.385714285714,5,-1.6142857142858702,-40.357142857146755,take_profit,4864.528571428574,20250114
long,2025-01-13 19:57:00-06:00,5944.0,2025-01-13 19:59:00-06:00,5944.085714285714,5,-1.914285714286052,-47.8571428571513,take_profit,4816.671428571422,20250114
short,2025-01-13 20:55:00-06:00,5943.75,2025-01-13 20:57:00-06:00,5944.25,5,-2.5,-62.5,stop_loss,4754.171428571422,20250114
long,2025-01-13 21:39:00-06:00,5943.75,2025-01-13 21:42:00-06:00,5944.221428571429,5,-1.5285714285710128,-38.21428571427532,take_profit,4715.957142857147,20250114
short,2025-01-13 22:35:00-06:00,5947.5,2025-01-13 22:37:00-06:00,5948.0,5,-2.5,-62.5,stop_loss,4653.457142857147,20250114
short,2025-01-13 23:37:00-06:00,5949.0,2025-01-13 23:40:00-06:00,5949.5,5,-2.5,-62.5,stop_loss,4590.957142857147,20250114
short,2025-01-14 02:25:00-06:00,5961.75,2025-01-14 02:27:00-06:00,5959.821428571428,5,-0.0714285714284415,-1.7857142857110375,take_profit,4589.171428571436,20250114
short,2025-01-14 02:49:00-06:00,5968.25,2025-01-14 02:51:00-06:00,5966.021428571428,5,0.2285714285717404,5.71428571429351,take_profit,4594.88571428573,20250114
long,2025-01-14 04:16:00-06:00,5959.25,2025-01-14 04:18:00-06:00,5959.935714285714,5,-1.3142857142856883,-32.85714285714221,take_profit,4562.028571428587,20250114
long,2025-01-14 05:05:00-06:00,5957.75,2025-01-14 05:14:00-06:00,5958.007142857143,5,-1.7428571428572468,-43.57142857143117,take_profit,4518.457142857156,20250114
long,2025-01-14 06:10:00-06:00,5947.5,2025-01-14 06:13:00-06:00,5946.971428571429,5,-2.528571428571013,-63.21428571427532,stop_loss,4455.242857142881,20250114
long,2025-01-14 07:27:00-06:00,5931.75,2025-01-14 07:29:00-06:00,5933.85,5,0.1000000000003638,2.500000000009095,take_profit,4457.74285714289,20250114
short,2025-01-14 20:00:00-06:00,5942.5,2025-01-14 20:23:00-06:00,5942.071428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4858.685714285718,20250115
long,2025-01-14 20:40:00-06:00,5940.0,2025-01-14 20:46:00-06:00,5939.5,5,-2.5,-62.5,stop_loss,4796.185714285718,20250115
long,2025-01-14 22:05:00-06:00,5938.0,2025-01-14 22:08:00-06:00,5937.5,5,-2.5,-62.5,stop_loss,4733.685714285718,20250115
short,2025-01-14 22:50:00-06:00,5939.0,2025-01-14 23:31:00-06:00,5939.5,5,-2.5,-62.5,stop_loss,4671.185714285718,20250115
short,2025-01-15 01:01:00-06:00,5942.25,2025-01-15 02:01:00-06:00,5941.864285714286,5,-1.6142857142858702,-40.357142857146755,take_profit,4630.828571428571,20250115
short,2025-01-15 02:44:00-06:00,5941.5,2025-01-15 02:48:00-06:00,5942.0,5,-2.5,-62.5,stop_loss,4568.328571428571,20250115
long,2025-01-15 03:21:00-06:00,5939.5,2025-01-15 03:32:00-06:00,5940.057142857143,5,-1.442857142857065,-36.07142857142662,take_profit,4532.257142857145,20250115
short,2025-01-15 04:37:00-06:00,5947.5,2025-01-15 04:47:00-06:00,5948.0,5,-2.5,-62.5,stop_loss,4469.757142857145,20250115
short,2025-01-15 05:41:00-06:00,5953.0,2025-01-15 05:46:00-06:00,5953.5,5,-2.5,-62.5,stop_loss,4407.257142857145,20250115
long,2025-01-15 08:10:00-06:00,6021.0,2025-01-15 08:15:00-06:00,6019.942857142857,5,-3.057142857142935,-76.42857142857338,stop_loss,4330.828571428571,20250115
long,2025-01-15 08:38:00-06:00,6009.75,2025-01-15 08:40:00-06:00,6016.178571428572,4,4.828571428571559,96.57142857143117,take_profit,4427.400000000002,20250115
long,2025-01-15 09:36:00-06:00,6033.5,2025-01-15 09:39:00-06:00,6037.4857142857145,5,1.9857142857144936,49.64285714286234,take_profit,4477.042857142865,20250115
long,2025-01-15 10:35:00-06:00,6018.0,2025-01-15 10:46:00-06:00,6015.857142857143,4,-3.742857142856883,-74.85714285713766,stop_loss,4402.185714285727,20250115
short,2025-01-15 18:11:00-06:00,6051.0,2025-01-15 18:13:00-06:00,6051.5,5,-2.5,-62.5,stop_loss,4815.857142857144,20250116
long,2025-01-15 18:56:00-06:00,6052.5,2025-01-15 19:01:00-06:00,6052.0,5,-2.5,-62.5,stop_loss,4753.357142857144,20250116
short,2025-01-15 19:47:00-06:00,6051.5,2025-01-15 20:06:00-06:00,6051.457142857143,5,-1.9571428571425713,-48.92857142856428,take_profit,4704.42857142858,20250116
short,2025-01-15 21:07:00-06:00,6050.0,2025-01-15 22:24:00-06:00,6049.528571428571,5,-1.5285714285710128,-38.21428571427532,take_profit,4666.214285714304,20250116
long,2025-01-15 23:40:00-06:00,6040.0,2025-01-15 23:43:00-06:00,6040.9857142857145,5,-1.0142857142855064,-25.35714285713766,take_profit,4640.857142857167,20250116
long,2025-01-16 02:09:00-06:00,6067.25,2025-01-16 02:11:00-06:00,6068.664285714286,5,-0.5857142857139479,-14.642857142848698,take_profit,4626.214285714318,20250116
long,2025-01-16 03:33:00-06:00,6057.25,2025-01-16 03:40:00-06:00,6056.75,5,-2.5,-62.5,stop_loss,4563.714285714318,20250116
short,2025-01-16 05:57:00-06:00,6065.0,2025-01-16 06:03:00-06:00,6064.357142857143,5,-1.357142857143117,-33.928571428577925,take_profit,4529.78571428574,20250116
short,2025-01-16 07:31:00-06:00,6050.75,2025-01-16 07:34:00-06:00,6047.45,5,1.300000000000182,32.50000000000455,take_profit,4562.285714285745,20250116
short,2025-01-16 10:00:00-06:00,6052.0,2025-01-16 10:02:00-06:00,6053.228571428572,5,-3.2285714285717404,-80.71428571429351,stop_loss,4481.571428571451,20250116
short,2025-01-16 17:44:00-06:00,6029.5,2025-01-16 17:46:00-06:00,6029.071428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4823.200000000005,20250117
short,2025-01-16 19:05:00-06:00,6034.25,2025-01-16 19:40:00-06:00,6034.75,5,-2.5,-62.5,stop_loss,4760.700000000005,20250117
long,2025-01-16 20:42:00-06:00,6037.25,2025-01-16 21:07:00-06:00,6036.75,5,-2.5,-62.5,stop_loss,4698.200000000005,20250117
short,2025-01-16 21:36:00-06:00,6038.0,2025-01-16 22:15:00-06:00,6038.5,5,-2.5,-62.5,stop_loss,4635.700000000005,20250117
short,2025-01-17 01:02:00-06:00,6040.25,2025-01-17 01:04:00-06:00,6040.207142857143,5,-1.9571428571425713,-48.92857142856428,take_profit,4586.771428571441,20250117
long,2025-01-17 01:17:00-06:00,6036.25,2025-01-17 02:01:00-06:00,6036.721428571429,5,-1.5285714285710128,-38.21428571427532,take_profit,4548.557142857166,20250117
long,2025-01-17 02:32:00-06:00,6043.5,2025-01-17 02:34:00-06:00,6043.5,5,-2.0,-50.0,take_profit,4498.557142857166,20250117
short,2025-01-17 03:04:00-06:00,6049.5,2025-01-17 03:08:00-06:00,6050.0,5,-2.5,-62.5,stop_loss,4436.057142857166,20250117
long,2025-01-17 04:48:00-06:00,6051.0,2025-01-17 04:50:00-06:00,6050.5,5,-2.5,-62.5,stop_loss,4373.557142857166,20250117
short,2025-01-17 05:32:00-06:00,6055.75,2025-01-17 05:35:00-06:00,6054.935714285714,5,-1.1857142857143117,-29.642857142857792,take_profit,4343.914285714308,20250117
short,2025-01-17 07:04:00-06:00,6056.25,2025-01-17 07:06:00-06:00,6056.75,5,-2.5,-62.5,stop_loss,4281.414285714308,20250117
long,2025-01-17 08:34:00-06:00,6075.5,2025-01-17 08:39:00-06:00,6073.314285714286,3,-3.385714285714312,-50.78571428571468,stop_loss,4230.628571428593,20250117
short,2025-01-19 18:37:00-06:00,6082.75,2025-01-19 18:39:00-06:00,6082.321428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4796.571428571435,20250120
short,2025-01-19 19:05:00-06:00,6086.25,2025-01-19 19:07:00-06:00,6086.75,5,-2.5,-62.5,stop_loss,4734.071428571435,20250120
short,2025-01-19 20:26:00-06:00,6084.5,2025-01-19 20:49:00-06:00,6084.2,5,-1.699999999999818,-42.49999999999545,take_profit,4691.571428571439,20250120
short,2025-01-19 21:23:00-06:00,6087.5,2025-01-19 21:25:00-06:00,6086.857142857143,5,-1.357142857143117,-33.928571428577925,take_profit,4657.642857142861,20250120
short,2025-01-19 22:05:00-06:00,6088.5,2025-01-19 22:20:00-06:00,6088.071428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4618.35714285715,20250120
short,2025-01-19 23:15:00-06:00,6089.25,2025-01-19 23:18:00-06:00,6088.95,5,-1.699999999999818,-42.49999999999545,take_profit,4575.857142857155,20250120
short,2025-01-20 00:30:00-06:00,6090.0,2025-01-20 00:51:00-06:00,6090.5,5,-2.5,-62.5,stop_loss,4513.357142857155,20250120
long,2025-01-20 01:27:00-06:00,6092.25,2025-01-20 01:42:00-06:00,6092.335714285714,5,-1.914285714286052,-47.8571428571513,take_profit,4465.500000000004,20250120
long,2025-01-20 02:30:00-06:00,6089.5,2025-01-20 02:32:00-06:00,6090.785714285715,5,-0.7142857142853245,-17.857142857133113,take_profit,4447.6428571428705,20250120
short,2025-01-20 03:26:00-06:00,6095.75,2025-01-20 03:36:00-06:00,6095.192857142857,5,-1.442857142857065,-36.07142857142662,take_profit,4411.571428571444,20250120
long,2025-01-20 04:11:00-06:00,6093.5,2025-01-20 04:23:00-06:00,6093.714285714285,5,-1.7857142857146755,-44.64285714286689,take_profit,4366.928571428577,20250120
short,2025-01-20 04:51:00-06:00,6097.25,2025-01-20 05:04:00-06:00,6096.864285714286,5,-1.6142857142858702,-40.357142857146755,take_profit,4326.57142857143,20250120
long,2025-01-20 06:04:00-06:00,6091.0,2025-01-20 06:14:00-06:00,6090.5,5,-2.5,-62.5,stop_loss,4264.07142857143,20250120
long,2025-01-20 07:29:00-06:00,6080.75,2025-01-20 07:31:00-06:00,6081.307142857143,5,-1.442857142857065,-36.07142857142662,take_profit,4228.000000000004,20250120
long,2025-01-20 09:02:00-06:00,6120.25,2025-01-20 09:04:00-06:00,6119.007142857143,5,-3.242857142857247,-81.07142857143117,stop_loss,4146.9285714285725,20250120
long,2025-01-20 09:46:00-06:00,6100.5,2025-01-20 09:48:00-06:00,6104.228571428572,5,1.7285714285717404,43.21428571429351,take_profit,4190.142857142866,20250120
long,2025-01-20 11:08:00-06:00,6110.25,2025-01-20 11:12:00-06:00,6112.35,5,0.1000000000003638,2.500000000009095,take_profit,4192.642857142875,20250120
long,2025-01-20 11:28:00-06:00,6102.75,2025-01-20 11:31:00-06:00,6107.807142857143,4,3.457142857142935,69.1428571428587,take_profit,4261.785714285734,20250120
long,2025-01-20 18:21:00-06:00,6123.0,2025-01-20 18:29:00-06:00,6122.5,5,-2.5,-62.5,stop_loss,4751.085714285718,20250121
short,2025-01-20 21:04:00-06:00,6099.5,2025-01-20 21:15:00-06:00,6100.0,5,-2.5,-62.5,stop_loss,4688.585714285718,20250121
long,2025-01-20 22:23:00-06:00,6103.75,2025-01-20 22:37:00-06:00,6103.25,5,-2.5,-62.5,stop_loss,4626.085714285718,20250121
long,2025-01-20 23:31:00-06:00,6094.75,2025-01-20 23:35:00-06:00,6094.25,5,-2.5,-62.5,stop_loss,4563.585714285718,20250121
long,2025-01-21 00:49:00-06:00,6094.0,2025-01-21 00:51:00-06:00,6094.771428571428,5,-1.2285714285717404,-30.71428571429351,take_profit,4532.871428571424,20250121
long,2025-01-21 03:02:00-06:00,6107.0,2025-01-21 03:04:00-06:00,6106.5,5,-2.5,-62.5,stop_loss,4470.371428571424,20250121
short,2025-01-21 04:02:00-06:00,6120.0,2025-01-21 04:06:00-06:00,6120.5,5,-2.5,-62.5,stop_loss,4407.871428571424,20250121
long,2025-01-21 05:09:00-06:00,6115.25,2025-01-21 05:16:00-06:00,6114.75,5,-2.5,-62.5,stop_loss,4345.371428571424,20250121
long,2025-01-21 08:42:00-06:00,6114.0,2025-01-21 08:46:00-06:00,6120.085714285714,4,4.485714285713948,89.71428571427896,take_profit,4435.085714285703,20250121
short,2025-01-21 17:48:00-06:00,6154.0,2025-01-21 17:54:00-06:00,6153.1,5,-1.1000000000003638,-27.500000000009095,take_profit,4771.84285714285,20250122
short,2025-01-21 18:37:00-06:00,6157.75,2025-01-21 18:45:00-06:00,6158.25,5,-2.5,-62.5,stop_loss,4709.34285714285,20250122
long,2025-01-21 19:03:00-06:00,6156.5,2025-01-21 19:05:00-06:00,6156.0,5,-2.5,-62.5,stop_loss,4646.84285714285,20250122
short,2025-01-21 19:53:00-06:00,6158.5,2025-01-21 19:55:00-06:00,6159.0,5,-2.5,-62.5,stop_loss,4584.34285714285,20250122
short,2025-01-21 21:32:00-06:00,6159.5,2025-01-21 21:38:00-06:00,6160.0,5,-2.5,-62.5,stop_loss,4521.84285714285,20250122
long,2025-01-21 22:17:00-06:00,6159.25,2025-01-21 22:19:00-06:00,6158.75,5,-2.5,-62.5,stop_loss,4459.34285714285,20250122
short,2025-01-21 22:38:00-06:00,6161.0,2025-01-21 22:40:00-06:00,6161.5,5,-2.5,-62.5,stop_loss,4396.84285714285,20250122
long,2025-01-21 23:24:00-06:00,6160.75,2025-01-21 23:52:00-06:00,6160.964285714285,5,-1.7857142857146755,-44.64285714286689,take_profit,4352.199999999983,20250122
short,2025-01-22 01:40:00-06:00,6161.0,2025-01-22 01:45:00-06:00,6160.571428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4312.914285714272,20250122
short,2025-01-22 02:58:00-06:00,6167.0,2025-01-22 03:00:00-06:00,6167.5,5,-2.5,-62.5,stop_loss,4250.414285714272,20250122
short,2025-01-22 04:41:00-06:00,6170.0,2025-01-22 05:09:00-06:00,6170.5,5,-2.5,-62.5,stop_loss,4187.914285714272,20250122
long,2025-01-22 05:33:00-06:00,6168.0,2025-01-22 05:55:00-06:00,6167.5,5,-2.5,-62.5,stop_loss,4125.414285714272,20250122
short,2025-01-22 06:16:00-06:00,6172.0,2025-01-22 06:20:00-06:00,6172.5,5,-2.5,-62.5,stop_loss,4062.9142857142724,20250122
short,2025-01-22 06:57:00-06:00,6174.5,2025-01-22 07:00:00-06:00,6173.728571428572,5,-1.2285714285717404,-30.71428571429351,take_profit,4032.199999999979,20250122
long,2025-01-22 08:06:00-06:00,6172.75,2025-01-22 08:14:00-06:00,6172.25,5,-2.5,-62.5,stop_loss,3969.699999999979,20250122
short,2025-01-22 10:28:00-06:00,6187.25,2025-01-22 10:30:00-06:00,6187.75,5,-2.5,-62.5,stop_loss,3907.199999999979,20250122
long,2025-01-22 12:01:00-06:00,6187.5,2025-01-22 12:19:00-06:00,6187.0,5,-2.5,-62.5,stop_loss,3844.699999999979,20250122
long,2025-01-22 19:49:00-06:00,6172.75,2025-01-22 19:52:00-06:00,6172.25,5,-2.5,-62.5,stop_loss,4698.657142857144,20250123
short,2025-01-22 20:38:00-06:00,6173.0,2025-01-22 20:46:00-06:00,6172.657142857143,5,-1.657142857143299,-41.42857142858247,take_profit,4657.228571428562,20250123
long,2025-01-22 21:19:00-06:00,6170.5,2025-01-22 21:40:00-06:00,6170.842857142857,5,-1.657142857143299,-41.42857142858247,take_profit,4615.799999999979,20250123
long,2025-01-22 22:11:00-06:00,6173.0,2025-01-22 22:20:00-06:00,6173.214285714285,5,-1.7857142857146755,-44.64285714286689,take_profit,4571.157142857112,20250123
long,2025-01-22 23:31:00-06:00,6173.5,2025-01-22 23:34:00-06:00,6173.714285714285,5,-1.7857142857146755,-44.64285714286689,take_profit,4526.5142857142455,20250123
long,2025-01-23 00:45:00-06:00,6170.0,2025-01-23 01:07:00-06:00,6169.5,5,-2.5,-62.5,stop_loss,4464.0142857142455,20250123
long,2025-01-23 02:21:00-06:00,6165.75,2025-01-23 02:23:00-06:00,6166.221428571429,5,-1.5285714285710128,-38.21428571427532,take_profit,4425.79999999997,20250123
short,2025-01-23 04:15:00-06:00,6169.25,2025-01-23 04:17:00-06:00,6169.75,5,-2.5,-62.5,stop_loss,4363.29999999997,20250123
long,2025-01-23 04:51:00-06:00,6165.75,2025-01-23 05:23:00-06:00,6166.2642857142855,5,-1.4857142857144936,-37.14285714286234,take_profit,4326.157142857108,20250123
short,2025-01-23 09:47:00-06:00,6181.5,2025-01-23 09:52:00-06:00,6182.071428571428,5,-2.5714285714284415,-64.28571428571104,stop_loss,4261.871428571397,20250123
short,2025-01-23 11:54:00-06:00,6190.5,2025-01-23 12:01:00-06:00,6191.0,5,-2.5,-62.5,stop_loss,4199.371428571397,20250123
long,2025-01-23 18:49:00-06:00,6204.5,2025-01-23 18:56:00-06:00,6204.0,5,-2.5,-62.5,stop_loss,4676.185714285714,20250124
short,2025-01-23 19:18:00-06:00,6209.0,2025-01-23 19:24:00-06:00,6208.271428571428,5,-1.2714285714282596,-31.78571428570649,take_profit,4644.400000000008,20250124
short,2025-01-23 20:09:00-06:00,6208.0,2025-01-23 20:11:00-06:00,6207.571428571428,5,-1.5714285714284415,-39.28571428571104,take_profit,4605.114285714297,20250124
